iter	RMSE
0	219.6312316
1	208.6746331
2	199.7887495
3	192.5638976
4	186.6621403
5	181.8733078
6	178.1122601
7	174.9503185
8	172.447698
9	170.4416522
10	168.851064
11	167.5222388
12	166.4907103
13	165.6527379
14	164.9976476
15	164.4626161
16	163.9954003
17	163.6480828
18	163.3626073
19	163.1210762
20	162.8992943
21	162.737342
22	162.5904665
23	162.4746175
24	162.3815948
25	162.2945353
26	162.2294856
27	162.1695782
28	162.1183956
29	162.074422
30	162.0352526
31	161.9848456
32	161.9532973
33	161.9136417
34	161.8820759
35	161.8583919
36	161.832409
37	161.8142117
38	161.798812
39	161.7836603
40	161.7702095
41	161.7601209
42	161.7378966
43	161.7283882
44	161.7134918
45	161.6985042
46	161.680963
47	161.6705337
48	161.6563989
49	161.648449
50	161.6406322
51	161.6340355
52	161.6254283
53	161.6182193
54	161.6115896
55	161.608106
56	161.603458
57	161.5954366
58	161.5803046
59	161.5646071
60	161.5569643
61	161.5525133
62	161.5467754
63	161.5403858
64	161.5353869
65	161.5252032
66	161.5199187
67	161.5146323
68	161.5054048
69	161.4976467
70	161.4908692
71	161.4843274
72	161.4781023
73	161.4702292
74	161.460726
75	161.4577852
76	161.4466152
77	161.4444001
78	161.4384577
79	161.4342873
80	161.4312335
81	161.4248511
82	161.4221043
83	161.4174008
84	161.4129768
85	161.4082739
86	161.4061588
87	161.4037174
88	161.3992005
89	161.394542
90	161.3909692
91	161.387104
92	161.3828528
93	161.3802654
94	161.3713644
95	161.3660083
96	161.3589179
97	161.3508641
98	161.3454339
99	161.3421711
100	161.3374372
101	161.331937
102	161.3266829
103	161.3227409
104	161.3181581
105	161.3126655
106	161.3079556
107	161.3059068
108	161.300002
109	161.2913176
110	161.2872178
111	161.2819181
112	161.2785009
113	161.2748224
114	161.268464
115	161.2642758
116	161.2589708
117	161.2546597
118	161.2512859
119	161.2478048
120	161.2440558
121	161.2394829
122	161.2351747
123	161.2295824
124	161.2251606
125	161.2220217
126	161.2181724
127	161.2138994
128	161.2098046
129	161.206027
130	161.2024145
131	161.1984034
132	161.1949953
133	161.1927189
134	161.187527
135	161.1843282
136	161.1801994
137	161.1773916
138	161.171898
139	161.1680779
140	161.1643673
141	161.1615361
142	161.1579074
143	161.1545827
144	161.1521465
145	161.1474392
146	161.1432866
147	161.1400367
148	161.13659
149	161.1341073
150	161.1311826
151	161.1282098
152	161.1227839
153	161.1206885
154	161.118387
155	161.1135
156	161.1116562
157	161.1085049
158	161.105186
