iter	Passed	Remaining
0	100	100161
1	188	93919
2	259	86321
3	329	82029
4	405	80669
5	474	78545
6	542	76917
7	616	76453
8	686	75592
9	753	74615
10	825	74229
11	893	73587
12	959	72845
13	1027	72381
14	1096	72019
15	1163	71540
16	1238	71595
17	1303	71125
18	1367	70620
19	1439	70541
20	1506	70237
21	1568	69747
22	1629	69211
23	1698	69070
24	1755	68471
25	1820	68184
26	1877	67677
27	1939	67326
28	2005	67138
29	2067	66863
30	2135	66753
31	2205	66727
32	2273	66612
33	2342	66542
34	2409	66440
35	2497	66872
36	2572	66945
37	2633	66666
38	2690	66295
39	2759	66221
40	2821	65999
41	2882	65743
42	2956	65797
43	3033	65901
44	3098	65755
45	3155	65443
46	3215	65194
47	3290	65267
48	3348	64995
49	3408	64769
50	3475	64673
51	3537	64483
52	3597	64271
53	3649	63942
54	3704	63651
55	3763	63444
56	3826	63304
57	3882	63051
58	3940	62851
59	4000	62671
60	4067	62606
61	4134	62550
62	4197	62434
63	4264	62369
64	4336	62384
65	4401	62284
66	4460	62111
67	4528	62068
68	4585	61868
69	4645	61717
70	4704	61559
71	4766	61432
72	4829	61331
73	4891	61204
74	4953	61087
75	5017	61004
76	5086	60970
77	5143	60794
78	5210	60743
79	5278	60705
80	5341	60599
81	5402	60484
82	5470	60434
83	5530	60311
84	5595	60237
85	5658	60139
86	5722	60049
87	5784	59951
88	5848	59868
89	5916	59817
90	5978	59721
91	6045	59666
92	6113	59620
93	6175	59517
94	6235	59401
95	6301	59336
96	6374	59342
97	6437	59252
98	6501	59171
99	6570	59135
100	6632	59036
101	6704	59022
102	6763	58901
103	6840	58935
104	6907	58874
105	6966	58754
106	7029	58668
107	7102	58660
108	7163	58555
109	7228	58488
110	7291	58394
111	7350	58278
112	7409	58163
113	7473	58079
114	7535	57990
115	7601	57931
116	7662	57828
117	7723	57728
118	7783	57623
119	7858	57627
120	7923	57563
121	7984	57460
122	8047	57380
123	8114	57323
124	8176	57237
125	8236	57131
126	8302	57070
127	8380	57094
128	8454	57081
129	8508	56938
130	8565	56823
131	8642	56832
132	8698	56703
133	8757	56599
134	8827	56563
135	8897	56524
136	8958	56433
137	9027	56391
138	9089	56303
139	9164	56298
140	9235	56262
141	9295	56165
142	9352	56049
143	9415	55970
144	9475	55870
145	9539	55800
146	9601	55713
147	9671	55678
148	9730	55576
149	9785	55448
150	9841	55333
151	9903	55248
152	9971	55202
153	10032	55114
154	10090	55011
155	10160	54969
156	10224	54900
157	10283	54802
158	10344	54713
159	10409	54647
160	10473	54581
161	10550	54577
162	10617	54521
163	10686	54477
164	10745	54379
165	10809	54309
166	10878	54260
167	10967	54314
168	11027	54222
169	11099	54193
170	11159	54101
171	11247	54147
172	11313	54080
173	11371	53983
174	11429	53880
175	11504	53860
176	11571	53804
177	11634	53727
178	11698	53655
179	11767	53609
180	11837	53564
181	11896	53467
182	11962	53406
183	12043	53412
184	12114	53367
185	12183	53320
186	12252	53269
187	12322	53224
188	12395	53187
189	12460	53123
190	12528	53066
191	12607	53054
192	12674	52996
193	12740	52933
194	12824	52942
195	12892	52887
196	12959	52822
197	13043	52832
198	13118	52802
199	13187	52748
200	13252	52681
201	13336	52686
202	13417	52677
203	13485	52619
204	13553	52562
205	13632	52545
206	13686	52431
207	13757	52384
208	13825	52323
209	13883	52228
210	13949	52163
211	14009	52074
212	14083	52036
213	14143	51949
214	14214	51898
215	14290	51869
216	14356	51802
217	14414	51706
218	14471	51607
219	14552	51596
220	14609	51498
221	14670	51414
222	14731	51329
223	14797	51263
224	14863	51197
225	14920	51098
226	14985	51028
227	15065	51009
228	15128	50934
229	15194	50870
230	15264	50815
231	15327	50739
232	15387	50654
233	15451	50579
234	15511	50495
235	15572	50412
236	15642	50360
237	15700	50268
238	15762	50190
239	15829	50125
240	15887	50034
241	15951	49964
242	16015	49890
243	16083	49831
244	16153	49779
245	16226	49735
246	16285	49648
247	16359	49606
248	16423	49533
249	16497	49493
250	16565	49431
251	16639	49390
252	16702	49316
253	16764	49236
254	16827	49162
255	16897	49107
256	16955	49020
257	17020	48950
258	17085	48882
259	17156	48830
260	17218	48752
261	17274	48657
262	17329	48561
263	17382	48460
264	17448	48393
265	17530	48372
266	17597	48310
267	17671	48266
268	17740	48210
269	17798	48123
270	17867	48063
271	17932	47995
272	18011	47964
273	18075	47893
274	18143	47832
275	18218	47791
276	18288	47735
277	18353	47665
